00:00.0,USD,INR,85.4865
00:00.1,USD,INR,85.4621
00:00.2,USD,INR,85.4488
00:00.3,USD,INR,85.4762
00:00.4,USD,INR,85.4947
00:00.5,USD,INR,85.5018
00:00.6,USD,INR,85.5309
00:00.7,USD,INR,85.5107
00:00.8,USD,INR,85.5084
00:00.9,USD,INR,85.4921
00:01.0,USD,INR,85.5147
00:01.1,USD,INR,85.5294
00:01.2,USD,INR,85.5077
00:01.3,USD,INR,85.503
00:01.4,USD,INR,85.5296
00:01.5,USD,INR,85.5172
00:01.6,USD,INR,85.4936
00:01.7,USD,INR,85.496
00:01.8,USD,INR,85.4877
00:01.9,USD,INR,85.4625
00:02.0,USD,INR,85.4654
00:02.1,USD,INR,85.4768
00:02.2,USD,INR,85.4617
00:02.3,USD,INR,85.4352
00:02.4,USD,INR,85.4344
00:02.5,USD,INR,85.4158
00:02.6,USD,INR,85.4262
00:02.7,USD,INR,85.4077
00:02.8,USD,INR,85.3822
00:02.9,USD,INR,85.3531
00:03.0,USD,INR,85.375
00:03.1,USD,INR,85.3723
00:03.2,USD,INR,85.3458
00:03.3,USD,INR,85.371
00:03.4,USD,INR,85.345
00:03.5,USD,INR,85.35
00:03.6,USD,INR,85.3603
00:03.7,USD,INR,85.3901
00:03.8,USD,INR,85.4129
00:03.9,USD,INR,85.4221
00:04.0,USD,INR,85.399
00:04.1,USD,INR,85.3813
00:04.2,USD,INR,85.3568
00:04.3,USD,INR,85.3425
00:04.4,USD,INR,85.354
00:04.5,USD,INR,85.3458
00:04.6,USD,INR,85.322
00:04.7,USD,INR,85.3018
00:04.8,USD,INR,85.3187
00:04.9,USD,INR,85.3117
00:05.0,USD,INR,85.3339
00:05.1,USD,INR,85.3503
00:05.2,USD,INR,85.3786
00:05.3,USD,INR,85.3923
00:05.4,USD,INR,85.3776
00:05.5,USD,INR,85.3874
00:05.6,USD,INR,85.377
00:05.7,USD,INR,85.3919
00:05.8,USD,INR,85.3745
00:05.9,USD,INR,85.3752
00:06.0,USD,INR,85.3823
00:06.1,USD,INR,85.3538
00:06.2,USD,INR,85.3354
00:06.3,USD,INR,85.3505
00:06.4,USD,INR,85.3516
00:06.5,USD,INR,85.3534
00:06.6,USD,INR,85.3502
00:06.7,USD,INR,85.3368
00:06.8,USD,INR,85.3209
00:06.9,USD,INR,85.3001
00:07.0,USD,INR,85.32
00:07.1,USD,INR,85.308
00:07.2,USD,INR,85.3142
00:07.3,USD,INR,85.3249
00:07.4,USD,INR,85.3493
00:07.5,USD,INR,85.3223
00:07.6,USD,INR,85.3375
00:07.7,USD,INR,85.3675
00:07.8,USD,INR,85.3387
00:07.9,USD,INR,85.3308
00:08.0,USD,INR,85.3024
00:08.1,USD,INR,85.3079
00:08.2,USD,INR,85.2803
00:08.3,USD,INR,85.2755
00:08.4,USD,INR,85.2896
00:08.5,USD,INR,85.2951
00:08.6,USD,INR,85.293
00:08.7,USD,INR,85.2757
00:08.8,USD,INR,85.2602
00:08.9,USD,INR,85.2778
00:09.0,USD,INR,85.281
00:09.1,USD,INR,85.2661
00:09.2,USD,INR,85.2476
00:09.3,USD,INR,85.2354
00:09.4,USD,INR,85.2386
00:09.5,USD,INR,85.2367
00:09.6,USD,INR,85.256
00:09.7,USD,INR,85.2443
00:09.8,USD,INR,85.2688
00:09.9,USD,INR,85.2964
00:10.0,USD,INR,85.2768
00:10.1,USD,INR,85.2892
00:10.2,USD,INR,85.2989
00:10.3,USD,INR,85.3185
00:10.4,USD,INR,85.3068
00:10.5,USD,INR,85.3301
00:10.6,USD,INR,85.3517
00:10.7,USD,INR,85.3529
00:10.8,USD,INR,85.3474
00:10.9,USD,INR,85.3571
00:11.0,USD,INR,85.3341
00:11.1,USD,INR,85.3352
00:11.2,USD,INR,85.3609
00:11.3,USD,INR,85.3452
00:11.4,USD,INR,85.322
00:11.5,USD,INR,85.3344
00:11.6,USD,INR,85.3158
00:11.7,USD,INR,85.3107
00:11.8,USD,INR,85.3155
00:11.9,USD,INR,85.3313
00:12.0,USD,INR,85.3478
00:12.1,USD,INR,85.3569
00:12.2,USD,INR,85.3329
00:12.3,USD,INR,85.3422
00:12.4,USD,INR,85.317
00:12.5,USD,INR,85.3403
00:12.6,USD,INR,85.3701
00:12.7,USD,INR,85.3943
00:12.8,USD,INR,85.3962
00:12.9,USD,INR,85.4034
00:13.0,USD,INR,85.3887
00:13.1,USD,INR,85.3794
00:13.2,USD,INR,85.4094
00:13.3,USD,INR,85.3971
00:13.4,USD,INR,85.4118
00:13.5,USD,INR,85.4299
00:13.6,USD,INR,85.4387
00:13.7,USD,INR,85.4535
00:13.8,USD,INR,85.4734
00:13.9,USD,INR,85.4503
00:14.0,USD,INR,85.4422
00:14.1,USD,INR,85.4526
00:14.2,USD,INR,85.4597
00:14.3,USD,INR,85.4718
00:14.4,USD,INR,85.4476
00:14.5,USD,INR,85.4744
00:14.6,USD,INR,85.4813
00:14.7,USD,INR,85.5027
00:14.8,USD,INR,85.5308
00:14.9,USD,INR,85.502
00:15.0,USD,INR,85.4845
00:15.1,USD,INR,85.4711
00:15.2,USD,INR,85.4931
00:15.3,USD,INR,85.4707
