00:00.0,CCC,1717.09,1733.32,1212,INR
00:00.1,CCC,1716.97,1732.33,4964,INR
00:00.2,CCC,1720.25,1733.09,3962,INR
00:00.3,CCC,1717.06,1728.85,3440,INR
00:00.4,CCC,1720.97,1733.45,1145,INR
00:00.5,CCC,1722.09,1734.21,875,INR
00:00.6,CCC,1723.19,1737.04,2777,INR
00:00.7,CCC,1719.62,1735.35,1901,INR
00:00.8,CCC,1719.18,1736.44,3156,INR
00:00.9,CCC,1718.6,1734.08,1042,INR
00:01.0,CCC,1719.76,1735.73,4258,INR
00:01.1,CCC,1720.18,1734.67,3771,INR
00:01.2,CCC,1719,1734.55,1752,INR
00:01.3,CCC,1716.76,1732.47,4834,INR
00:01.4,CCC,1720.14,1730.35,2685,INR
00:01.5,CCC,1717.68,1730.17,4600,INR
00:01.6,CCC,1720.9,1735.76,2129,INR
00:01.7,CCC,1720.68,1732.97,3155,INR
00:01.8,CCC,1721.72,1733.87,974,INR
00:01.9,CCC,1718.81,1732.91,1530,INR
00:02.0,CCC,1714.79,1731.96,2235,INR
00:02.1,CCC,1719.18,1731.06,4088,INR
00:02.2,CCC,1716.35,1729.59,2304,INR
00:02.3,CCC,1714.15,1727.65,1080,INR
00:02.4,CCC,1717.01,1731.47,2490,INR
00:02.5,CCC,1714.96,1730.77,3867,INR
00:02.6,CCC,1720.38,1728.8,3279,INR
00:02.7,CCC,1718.34,1729.17,2781,INR
00:02.8,CCC,1719.33,1733.48,914,INR
00:02.9,CCC,1714.98,1732.51,1862,INR
00:03.0,CCC,1719.95,1729.05,3698,INR
00:03.1,CCC,1716.22,1733.21,1768,INR
00:03.2,CCC,1716.51,1725.75,968,INR
00:03.3,CCC,1714.25,1724.92,1156,INR
00:03.4,CCC,1716.91,1727.33,825,INR
00:03.5,CCC,1715.39,1731.32,3073,INR
00:03.6,CCC,1713.36,1726.91,576,INR
00:03.7,CCC,1712.46,1727.26,1585,INR
00:03.8,CCC,1716.17,1728.77,2978,INR
00:03.9,CCC,1714.57,1733.39,1348,INR
00:04.0,CCC,1716.2,1732.11,2808,INR
00:04.1,CCC,1719.37,1730.87,2557,INR
00:04.2,CCC,1718.99,1731.94,3232,INR
00:04.3,CCC,1721.54,1734.05,579,INR
00:04.4,CCC,1716.89,1730.13,1713,INR
00:04.5,CCC,1721.19,1734.57,3431,INR
00:04.6,CCC,1718.8,1732.75,1766,INR
00:04.7,CCC,1719.97,1729.54,703,INR
00:04.8,CCC,1716.89,1732.33,2685,INR
00:04.9,CCC,1713.34,1729.64,4270,INR
00:05.0,CCC,1714.38,1730.81,3189,INR
00:05.1,CCC,1714.73,1728.84,3212,INR
00:05.2,CCC,1715.76,1733.67,813,INR
00:05.3,CCC,1715.51,1730.75,1447,INR
00:05.4,CCC,1717.19,1726.55,2114,INR
00:05.5,CCC,1714.65,1727.73,2960,INR
00:05.6,CCC,1716.67,1729.49,3944,INR
00:05.7,CCC,1714.39,1730.2,4988,INR
00:05.8,CCC,1718.85,1731.15,4309,INR
00:05.9,CCC,1718.72,1733.4,1194,INR
00:06.0,CCC,1713.92,1732.75,3042,INR
00:06.1,CCC,1713.31,1727.97,4230,INR
00:06.2,CCC,1715.36,1727.79,1708,INR
00:06.3,CCC,1716.64,1725.77,2292,INR
00:06.4,CCC,1711.24,1726.36,4239,INR
00:06.5,CCC,1713.07,1725.13,4635,INR
00:06.6,CCC,1710.36,1728.46,2623,INR
00:06.7,CCC,1714.66,1726.73,2749,INR
